handle: 0x0002, char properties: 0x20, char value handle: 0x0003, uuid: 00002a05-0000-1000-8000-00805f9b34fb
handle: 0x0015, char properties: 0x02, char value handle: 0x0016, uuid: 00002a00-0000-1000-8000-00805f9b34fb
handle: 0x0017, char properties: 0x02, char value handle: 0x0018, uuid: 00002a01-0000-1000-8000-00805f9b34fb
handle: 0x0041, char properties: 0x02, char value handle: 0x0042, uuid: 00002a23-0000-1000-8000-00805f9b34fb
handle: 0x0043, char properties: 0x02, char value handle: 0x0044, uuid: 00002a24-0000-1000-8000-00805f9b34fb
handle: 0x0045, char properties: 0x02, char value handle: 0x0046, uuid: 00002a25-0000-1000-8000-00805f9b34fb
handle: 0x0047, char properties: 0x02, char value handle: 0x0048, uuid: 00002a26-0000-1000-8000-00805f9b34fb
handle: 0x0049, char properties: 0x02, char value handle: 0x004a, uuid: 00002a27-0000-1000-8000-00805f9b34fb
handle: 0x004b, char properties: 0x02, char value handle: 0x004c, uuid: 00002a28-0000-1000-8000-00805f9b34fb
handle: 0x004d, char properties: 0x02, char value handle: 0x004e, uuid: 00002a29-0000-1000-8000-00805f9b34fb
handle: 0x004f, char properties: 0x02, char value handle: 0x0050, uuid: 00002a2a-0000-1000-8000-00805f9b34fb
handle: 0x0061, char properties: 0x02, char value handle: 0x0062, uuid: 00002a19-0000-1000-8000-00805f9b34fb
handle: 0x0071, char properties: 0x1a, char value handle: 0x0072, uuid: 170d0d31-4213-11e3-aa6e-0800200c9a66
handle: 0x0074, char properties: 0x16, char value handle: 0x0075, uuid: 170d0d32-4213-11e3-aa6e-0800200c9a66
handle: 0x0077, char properties: 0x16, char value handle: 0x0078, uuid: 170d0d33-4213-11e3-aa6e-0800200c9a66
handle: 0x007a, char properties: 0x16, char value handle: 0x007b, uuid: 170d0d34-4213-11e3-aa6e-0800200c9a66
handle: 0x0081, char properties: 0x1c, char value handle: 0x0082, uuid: b993bf92-81e1-11e4-b4a9-0800200c9a66
handle: 0x0084, char properties: 0x0c, char value handle: 0x0085, uuid: b993bf93-81e1-11e4-b4a9-0800200c9a66
handle: 0x0086, char properties: 0x16, char value handle: 0x0087, uuid: 47ec27b0-5c56-11e5-a837-0800200c9a66
handle: 0x0091, char properties: 0x1a, char value handle: 0x0092, uuid: d735f431-486d-11e4-916c-0800200c9a66
handle: 0x0094, char properties: 0x1a, char value handle: 0x0095, uuid: d735f432-486d-11e4-916c-0800200c9a66
